Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
16352,034,IND(1 - 6),Permission,3 / 30,Hyojoon Kim
16364,035,IND(1 - 6),Permission,1 / 30,Yu Meng
16373,036,IND(1 - 6),Permission,0 / 30,Yue Cheng
16416,037,IND(1 - 6),Permission,1 / 30,Wei-Kai Lin
16417,038,IND(1 - 6),Permission,0 / 30,Chang Lou
16438,039,IND(1 - 6),Permission,0 / 30,Shangtong Zhang
21159,040,IND(1 - 6),Permission,1 / 30,Henry Kautz
21447,041,IND(1 - 6),Permission,1 / 30,Rohan Chandra
21514,042,IND(1 - 6),Permission,2 / 30,Zezhou Cheng
21590,043,IND(1 - 6),Permission,1 / 30,Jundong Li
21636,044,IND(1 - 6),Permission,1 / 30,Chen-Yu Wei
21643,045,IND(1 - 6),Permission,1 / 30,Ferdinando Fioretto
21645,046,IND(1 - 6),Permission,0 / 30,Hadi Daneshmand
21687,047,IND(1 - 6),Permission,0 / 30,Wenxi Wang
21692,048,IND(1 - 6),Permission,2 / 30,Chen Chen
21699,049,IND(1 - 6),Permission,1 / 30,Matheus Xavier Ferreira
